,FID,PROV_CODE,AMP_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,POP61,G9TYPE,G9TYPE_ARE,G9TYPE_POP,INSIDE_X,INSIDE_Y
0,0,10,1,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,50382,64,133902.08,2.657736,100.497954786,13.7553439671
1,1,10,2,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,94854,91,229122.44,2.415527,100.518178796,13.7800823136
2,2,10,3,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,172990,102,20650190.36,119.372162,100.857347689,13.8526335618
3,3,10,4,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,48207,83,110675.8,2.295845,100.524191834,13.7270201577
4,4,10,5,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,191323,98,3907428.68,20.423204,100.630428795,13.8668557548
5,5,10,6,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,146841,147,1171240.23,7.976248,100.640030606,13.7693359681
6,6,10,7,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,48382,55,887984.0,18.353603,100.53558591,13.7395271043
7,7,10,8,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,45701,15,34778.52,0.761001,100.511231699,13.7508543143
8,8,10,9,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,89237,152,730190.32,8.182596,100.613707508,13.6922352038
9,9,10,10,กรุงเทพมหานคร,BANGKOK,มีนบุรี,MIN BURI,142311,118,6257001.44,43.967096,100.754310297,13.808810034
10,10,10,11,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,175662,124,4366710.44,24.858595,100.792916156,13.743932819
11,11,10,12,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,78031,113,1172454.0,15.02549,100.539494175,13.6904402555
12,12,10,13,กรุงเทพมหานคร,BANGKOK,สัมพันธวงศ์,SAMPHANTHAWONG,23655,12,9759.48,0.412576,100.508662782,13.7385418312
13,13,10,14,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,70341,94,319179.8,4.537607,100.545006462,13.7818773022
14,14,10,15,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,107754,93,435587.36,4.042424,100.485433758,13.7154779364
15,15,10,16,กรุงเทพมหานคร,BANGKOK,บางกอกใหญ่,BANGKOK YAI,67211,59,516236.0,7.680826,100.476186373,13.7351337518
16,16,10,17,กรุงเทพมหานคร,BANGKOK,ห้วยขวาง,HUAI KHWANG,81689,105,2582745.15,31.616805,100.583076517,13.7675159474
17,17,10,18,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,72171,52,218992.0,3.034349,100.50230443,13.7228382145
18,18,10,19,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,TALING CHAN,105047,111,3646499.76,34.713031,100.435181324,13.7717012983
19,19,10,20,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,BANGKOK NOI,110417,106,678995.92,6.149378,100.471616671,13.7628275456
20,20,10,21,กรุงเทพมหานคร,BANGKOK,บางขุนเทียน,BANG KHUN THIAN,183878,155,48178046.25,262.010933,100.427566793,13.5926925912
21,21,10,22,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,PHASI CHAROEN,125981,94,370839.96,2.943618,100.441279405,13.7234697103
22,22,10,23,กรุงเทพมหานคร,BANGKOK,หนองแขม,NONG KHAEM,156267,131,3675900.28,23.523202,100.355112346,13.6957690291
23,23,10,24,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,81806,82,3037157.88,37.126346,100.499682502,13.673060292
24,24,10,25,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,91278,87,721527.52,7.904725,100.494352057,13.7873530894
25,25,10,26,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,120761,120,414844.0,3.435248,100.563290834,13.775036624
26,26,10,27,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,142990,94,2089970.12,14.616198,100.651241023,13.8086852418
27,27,10,28,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,78860,91,348519.64,4.419473,100.53099852,13.7141236662
28,28,10,29,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,125299,115,977105.56,7.798191,100.528477925,13.8200453369
29,29,10,30,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,155923,130,610194.18,3.913433,100.565175654,13.8265167554
30,30,10,31,กรุงเทพมหานคร,BANGKOK,บางคอแหลม,BANG KHO LAEM,88288,96,499930.7,5.662499,100.509703886,13.6967184115
31,31,10,32,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,178290,199,4180737.56,23.449086,100.676951121,13.699065121
32,32,10,33,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,101543,77,291531.84,2.871019,100.572192073,13.716103081
33,33,10,34,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,123026,99,572562.44,4.653995,100.628038239,13.7259053253
34,34,10,35,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,151174,168,2095179.47,13.85939,100.463084887,13.6872845871
35,35,10,36,กรุงเทพมหานคร,BANGKOK,ดอนเมือง,DON MUEANG,169259,101,2798718.63,16.535124,100.593618376,13.9252579839
36,36,10,37,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,71952,91,570680.72,7.931409,100.538579121,13.7572530681
37,37,10,38,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,119709,101,462704.88,3.865247,100.608449275,13.8244396206
38,38,10,39,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,85642,92,486173.99,5.676817,100.584147697,13.7317341912
39,39,10,40,กรุงเทพมหานคร,BANGKOK,บางแค,BANG KHAE,193315,193,2531771.77,13.096613,100.394952798,13.7162720668
40,40,10,41,กรุงเทพมหานคร,BANGKOK,หลักสี่,LAK SI,104577,92,1074369.8,10.273481,100.567998545,13.8798503136
41,41,10,42,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,204532,128,3182568.2,15.560246,100.65315791,13.9060176749
42,42,10,43,กรุงเทพมหานคร,BANGKOK,คันนายาว,KHAN NA YAO,97187,116,5376978.12,55.326105,100.677336563,13.8212498955
43,43,10,44,กรุงเทพมหานคร,BANGKOK,สะพานสูง,SAPHAN SUNG,95836,144,2823235.99,29.459034,100.691499285,13.762729417
44,44,10,45,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,111293,99,616826.94,5.54237,100.609584484,13.7785569723
45,45,10,46,กรุงเทพมหานคร,BANGKOK,คลองสามวา,KHLONG SAM WA,198019,180,9991531.04,50.457436,100.739213223,13.8746789155
46,46,10,47,กรุงเทพมหานคร,BANGKOK,บางนา,BANG NA,90148,89,1365786.2,15.150488,100.618432975,13.6676152974
47,47,10,48,กรุงเทพมหานคร,BANGKOK,ทวีวัฒนา,THAWI WATTHANA,78394,105,2033902.48,25.944619,100.368187152,13.7754782362
48,48,10,49,กรุงเทพมหานคร,BANGKOK,ทุ่งครุ,THUNG KHRU,122296,175,4806760.8,39.304317,100.495507345,13.6276545917
49,49,10,50,กรุงเทพมหานคร,BANGKOK,บางบอน,BANG BON,106919,102,1542882.72,14.430389,100.392101266,13.6564514536
